	_id	sameAs
0	dde_026a2652e9c13d8f	https://data.niaid.nih.gov/resources?id=gse168215
1	dde_046fd968814fd76f	https://data.niaid.nih.gov/resources?id=prjna423123
2	dde_0565c31a11705723	https://data.niaid.nih.gov/resources?id=msv000080017
3	dde_080de1604f9f92e0	https://data.niaid.nih.gov/resources?id=prjna513389
4	dde_0c1427f1e8684aea	https://data.niaid.nih.gov/resources?id=gse72459
5	dde_0c6dbc5996117836	https://data.niaid.nih.gov/resources?id=prjna548153
6	dde_0f2a8fc498f4ab28	https://data.niaid.nih.gov/resources?id=gse68381
7	dde_1e1529500ccdf414	https://data.niaid.nih.gov/resources?id=msv000079468
8	dde_2287406f2af19b8d	https://data.niaid.nih.gov/resources?id=msv000080025
9	dde_244d8d929fbb2925	https://data.niaid.nih.gov/resources?id=prjna607574
10	dde_2948be3de4a268d2	https://data.niaid.nih.gov/resources?id=msv000081050
11	dde_2db1d9ab8744615f	https://data.niaid.nih.gov/resources?id=gse79458
12	dde_2e6a96023cabbe98	https://data.niaid.nih.gov/resources?id=prjna526551
13	dde_2f0ab5324160b3d6	https://data.niaid.nih.gov/resources?id=gse78887
14	dde_33d8dc64e96b8fa9	https://data.niaid.nih.gov/resources?id=gse67474
15	dde_397bf5475339ea3a	https://data.niaid.nih.gov/resources?id=prjna311224
16	dde_3d8394be18ac2066	https://data.niaid.nih.gov/resources?id=gse99486
17	dde_3dbfc64e0e6e0dd7	https://data.niaid.nih.gov/resources?id=msv000079702
18	dde_3e18312eda80a9da	https://data.niaid.nih.gov/resources?id=prjna470935
19	dde_40b801326365a1c2	https://data.niaid.nih.gov/resources?id=gse79733
20	dde_4697d40077ff039f	https://data.niaid.nih.gov/resources?id=gse196010
21	dde_49e2be00cedf88d0	https://data.niaid.nih.gov/resources?id=prjna386260
22	dde_4f25bedd12f4c98f	https://data.niaid.nih.gov/resources?id=msv000081051
23	dde_4fb370c482dcb376	https://data.niaid.nih.gov/resources?id=msv000079386
24	dde_51d62145e328627a	https://data.niaid.nih.gov/resources?id=gse65574
25	dde_64769e48d2169106	https://data.niaid.nih.gov/resources?id=gse59086
26	dde_66c0ab81b12cff8c	https://data.niaid.nih.gov/resources?id=prjna521559
27	dde_67bb1cfa4f251a8a	https://data.niaid.nih.gov/resources?id=gse151991
28	dde_688aa9a7f4c82c67	https://data.niaid.nih.gov/resources?id=prjna46339
29	dde_70f59e5f54409ca0	https://data.niaid.nih.gov/resources?id=gse106523
30	dde_754b54400af3d34e	https://data.niaid.nih.gov/resources?id=gse156295
31	dde_756e3c9b8114b243	https://data.niaid.nih.gov/resources?id=prjna637031
32	dde_7a387825931ceb18	https://data.niaid.nih.gov/resources?id=gse86528
33	dde_8a035090d274bf48	https://data.niaid.nih.gov/resources?id=prjna485123
34	dde_8d0c089524c32e6f	https://data.niaid.nih.gov/resources?id=prjna381935
35	dde_8f7c2532ec08350c	https://data.niaid.nih.gov/resources?id=gse81852
36	dde_8f99c8b803ac5aa3	https://data.niaid.nih.gov/resources?id=gse122252
37	dde_928e50eb619314c7	https://data.niaid.nih.gov/resources?id=msv000079343
38	dde_954c6ca380492d2a	https://data.niaid.nih.gov/resources?id=gse102440
39	dde_990e008d5dd763bc	https://data.niaid.nih.gov/resources?id=msv000082131
40	dde_9dec4f5347000e81	https://data.niaid.nih.gov/resources?id=msv000081052
41	dde_a33ef37c802469f1	https://data.niaid.nih.gov/resources?id=gse140759
42	dde_a55c5571a5daf0c1	https://data.niaid.nih.gov/resources?id=msv000079152
